from,to,detail,type,contract_size
HM Revenue and Customs,Amyas Charles Edward Morse,"In September 2019, the Chancellor commissioned Sir Amyas Morse to lead an independent review into the disguised remuneration loan charge",job,
Adrian Sacco,Felicitas Solutions Limited,Adrian Sacco has significant control of Felicitas Solutions Limited in both the UK and Isle of Man,job,
Felicitas Solutions Limited,Isle Of Man,Felicitas Solutions Limited is registered in both the Isle Of Man and the UK,jurisdiction,
Felicitas Solutions Limited,Garraway/Sanzar,Felicitas Solutions Limited is demanding loan repayments from users of the Garraway/Sanzar scheme,demand,
Felicitas Solutions Limited,IQ,Felicitas Solutions Limited is demanding loan repayments from users of the IQ scheme,demand,
Felicitas Solutions Limited,Winchester,Felicitas Solutions Limited is demanding loan repayments from users of the Winchester scheme,demand,
Isle of Man,Garraway/Sanzar,Garraway/Sanzar was registered in the Isle Of Man,jurisdiction,
Isle of Man,IQ,IQ was registered in the Isle Of Man,jurisdiction,
Isle of Man,Winchester,Winchester was registered in the Isle Of Man,jurisdiction,
Sajid Javid,Conservative party,Sajid Javid is a member of the Conservative Party,member,
Knox International Limited,Arthur John Lancaster,Arthur John Lancaster is a Director of Knox International Limited,job,
Knox International Limited,Douglas Barrowman,Douglas Barrowman is a person with significant control in Knox International Limited ,job,
Knox International Limited,Michelle Mone Interiors Unlimited,Knox International Limited has significant control in Michelle Mone Interiors Unlimited,corporate,
Timothy Clive Eve,Michelle Mone Interiors Unlimited,Timothy Clive Eve is a Director of Michelle Mone Interiors Unlimited,job,
Paul George Ruocco,Vanquish Options Limited,Paul George Ruocco was a director of Vanquish Options Limited,job,
Lancaster Knox LLP,Arthur John Lancaster,Arthur John Lancaster is a partner of Lancaster Knox LLP,job,
PathFinder Tax Services Limited,Knox Limited,PathFinder Tax Services Limited is part of the Knox group of companies,corporate,
Aston Management Limited,Knox Limited,Aston Management Limited is part of the Knox group of companies,corporate,
PathFinder Tax Services Limited,Timothy Clive Eve,Timothy Clive Eve is a Director of PathFinder Tax Services Limited,job,
Aston Management Limited,Timothy Clive Eve,Timothy Clive Eve is a Director of Aston Management Limited,job,
AVL Consultants Limited,Paul George Ruocco,Paul George Ruocco is a director of AVL Consultants Limited,job,
AVL Consultants Limited,Timothy Clive Eve,Timothy Clive Eve was a Director of AVL Consultants Limited,job,
AVL Consultants Limited,Douglas Barrowman,Douglas Barrowman was a Director of AVL Consultants Limited,job,
SmartPay Limited,Paul George Ruocco,Paul George Ruocco is a director of SmartPay Limited,job,
SmartPay Limited,Timothy Clive Eve,Timothy Clive Eve was a Director of SmartPay Limited,job,
Lancaster Knox LLP,Timothy Clive Eve,Timothy Clive Eve is a partner of Lancaster Knox LLP,job,
Cascade Management Solutions Limited,David Mainsbridge,David Mainsbridge is a director of Cascade Management Solutions Limited,job,
Michelle Mone,Michelle Mone Interiors Unlimited,Michelle Mone is a director of Michelle Mone Interiors Unlimited,job,
RCDTS Limited,Amyas Charles Edward Morse,Sir Amyas Morse was the auditor of RCDTS Limited in July 2018,job,
Leader's Club,Douglas Barrowman,"Lancaster Knox LLP has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=lancaster%20knox&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £200,000 to the Conservative party</a> since 2017",member,
Leader's Club,David Ross,"David Ross has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=%22David%20P%20Ross%22&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation""><a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=%22David%20Ross%22&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation""><a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=%22David%20PJ%20Ross%22&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £1,080,658 to the Conservative party</a> since 2006",donor,"1,080"
Leader's Club,Arthur John Lancaster,"Lancaster Knox LLP has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=lancaster%20knox&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £200,000 to the Conservative party</a> since 2017",member,
Leader's Club,Timothy Clive Eve,"Lancaster Knox LLP has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=lancaster%20knox&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £200,000 to the Conservative party</a> since 2017",member,
AML Tax LLP,Arthur John Lancaster,AML Tax LLP designated member,member,
AML Tax LLP,Nikolas Heath,"AML Tax LLP member <a target=""_blank"" href=""https://www.bbc.co.uk/news/uk-england-bristol-41499605"">Sentenced</a>",member,
AML Tax LLP,Alison Bradford,AML Tax LLP member,member,
AML Tax LLP,Lianne Guit,AML Tax LLP member,member,
AML Tax LLP,Mark Harrison,AML Tax LLP member,member,
AML Tax LLP,Adam Wallace,AML Tax LLP member,member,
AML Tax LLP,Mark Lyons,AML Tax LLP member,member,
AML Tax LLP,Andrew Simpson,AML Tax LLP member,member,
AML Tax LLP,Christopher Sparkes,AML Tax LLP member,member,
AML Tax LLP,Claudio Bacci,AML Tax LLP member,member,
AML Tax LLP,Duncan French,AML Tax LLP member,member,
AML Tax LLP,John Gill,AML Tax LLP member,member,
AML Tax LLP,Paul Grafton-Holt,AML Tax LLP member,member,
AML Tax LLP,David Hardy,AML Tax LLP member,member,
AML Tax LLP,Deborah Illingworth,AML Tax LLP member,member,
AML Tax LLP,Jasvinder Jhumat,AML Tax LLP member,member,
AML Tax LLP,Christopher Keavey,AML Tax LLP member,member,
AML Tax LLP,David McGovern,AML Tax LLP member,member,
AML Tax LLP,Kerry Mulder,AML Tax LLP member,member,
AML Tax LLP,Shoayb Patel,AML Tax LLP member,member,
AML Tax LLP,Nicholas Winterton,AML Tax LLP member,member,
CREECHURCH CAPITAL LIMITED,Arthur John Lancaster,"Director of <a target=""_blank"" href=""https://www.internationalinvestment.net/internationalinvestment/news/3503170/gbp685-record-payout-creechurch-whistleblower"">Record payout for whistleblower</a>",job,
SP Management Limited,Arthur John Lancaster,Director of,job,
Smartpay Consulting Limited,Arthur John Lancaster,Director of,job,
Falcon Contracts Limited,Arthur John Lancaster,Director of,job,
SP Management Limited,Jonathan Lang,Director of,job,
Smartpay Consulting Limited,Timothy Clive Eve,Director of,job,
Smartpay Consulting Limited,Timothy Brian Blackburn,Director of,job,
Smartpay Consulting Limited,Martin Rissbrook,Director of,job,
Lancaster Knox LLP,Martin Rissbrook,Martin Rissbrook is a former partner of Lancaster Knox LLP,job,
Falcon Contracts Limited,Martin Rissbrook,Director of,job,
Falcon Contracts Limited,Timothy Brian Blackburn,Director of,job,
Contracting Options Limited,Timothy Clive Eve,Director of,job,
Lion Resourcing Limited,Timothy Clive Eve,Director of,job,
Integra Resourcing Limited,Timothy Clive Eve,Director of,job,
PSC Resourcing Limited,Timothy Clive Eve,Director of,job,
PSC Services Limited,Timothy Clive Eve,Director of,job,
Pulse Professional Services limited,Timothy Brian Blackburn,Director of,job,
Smartpay Management Limited,Timothy Brian Blackburn,Director of,job,
Lion Resourcing Limited,Timothy Brian Blackburn,Director of,job,
Integra Resourcing Limited,Timothy Brian Blackburn,Director of,job,
PSC Services Limited,Timothy Brian Blackburn,Director of,job,
Contracting Options Limited,Timothy Brian Blackburn,Director of,job,
PSC Resourcing Limited,Timothy Brian Blackburn,Director of,job,
Falcon Management Limited,Timothy Brian Blackburn,Director of,job,
Pulse Professional Services limited,Knox Limited,Shareholder of,corporate,
Falcon Management Limited,Knox Limited,Shareholder of,corporate,
Contracting Options Limited,Knox Limited,Shareholder of,corporate,
Smartpay Management Limited,Martin Rissbrook,Director of,job,
Falcon Contracts Limited,Martin Rissbrook,Director of,job,
Falcon Management Limited,Martin Rissbrook,Director of,job,
Knox Worldwide Limited,Knox House Trust Limited,Intermediary of,corporate,
Knox (IOM) Limited,Knox House Trust Limited,Intermediary of,corporate,
Douglas Barrowman,Knox Worldwide Limited,Beneficiary of,member,
Knox House Trust Limited,Arthur John Lancaster,Chairman of,job,
Knox House Trust Limited,Timothy Clive Eve,Director of,job,
Knox House Trust Limited,Anthony Page,Director of,job,
Knox House Trust Limited,Voirrey Coole,Director of,job,
Ernst & Young Isle of Man,Arthur John Lancaster,1996-2003 Head of E&Y TAX of IofM (Director of Trust company and head of tax),job,
Boston Group Limited,Arthur John Lancaster,2003-2010 Group Managing Director (Family trusts with discretion),job,
Boston Group Limited,Conservative party,"Boston Group had given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=%22Boston%20Consultancy%22&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £125,000 to the Conservative party</a> between 2008-2009",donor,125
Ian Cameron,Blairmore Holdings Inc,Director of,corporate,
Ian Cameron,David Cameron,Father of,family,
Blairmore Holdings Inc,Aberdeenshire,Company named after Cameron family house in Aberdeenshire,family,
Carnegie Knox Limited,Aberdeenshire,"Company registered R & A House Blackburn Business Park, Woodburn Road, Blackburn, Aberdeen, AB21 0PS",corporate,
Carnegie Knox Limited,Timothy Clive Eve,Director of,job,
Carnegie Knox (Scotland) Limited,Aberdeenshire,"Company registered R & A House Blackburn Business Park, Woodburn Road, Blackburn, Aberdeen, AB21 0PS",corporate,
Carnegie Knox (Scotland) Limited,Timothy Clive Eve,Director of,job,
Oil Workers,Aberdeenshire,Job type caught up in Loan Charge,job,
David Cameron,Michelle Mone,Made Michelle a Conservative peer in 2015.,member,
Timothy Clive Eve,ICAEW,"Member of <a target=""_blank"" href=""https://find.icaew.com/members/london/timothy-eve/ZjRiUA"">ICAEW Member</a>",member,
Arthur John Lancaster,ICAEW,"Member of <a target=""_blank"" href=""https://find.icaew.com/members/london/arthur-lancaster/Z1kuyw9"">ICAEW Member</a>",member,
Lancaster Knox LLP,ICAEW,LLP with registered ICAEW accountants - https://find.icaew.com/firms/london/lancaster-knox-llp/PDmLx,member,
CREECHURCH ASSET MANAGEMENT LIMITED,Arthur John Lancaster,Director of,job,
CREECHURCH ASSET MANAGEMENT LIMITED,Knox Limited,Control of,corporate,
Lancaster Knox Consultancy Limited,Arthur John Lancaster,Director of,job,
Lancaster Knox Consultancy Limited,Knox Limited,Control of,corporate,
Lasenby Knox Limited,Arthur John Lancaster,Director of,job,
Lasenby Knox Limited,Knox Limited,Control of,corporate,
KNOX CAPITAL SOLUTIONS (UK) LIMITED,Arthur John Lancaster,Director of,job,
KNOX CAPITAL SOLUTIONS (UK) LIMITED,Douglas Barrowman,Former Chairmen of,job,
KNOX CAPITAL SOLUTIONS (UK) LIMITED,Knox Capital Solutions Limited,Control of,corporate,
AML Tax (UK) Limited,Arthur John Lancaster,Director of,job,
Monthly Advanced Loans Limited,Timothy Clive Eve,Director of,job,
Monthly Advanced Loans Limited,Andrew Douglas John Barrowman,Director of,job,
Monthly Advanced Loans Limited,Daniel John Clay,Director of,job,
Monthly Advanced Loans Limited,MAL (HOLDINGS) LIMITED,Control of,corporate,
Douglas Barrowman,Andrew Douglas John Barrowman,Father of,family,
GB Knox Limited,Timothy Clive Eve,Director of,job,
Clay Knox 100 Limited,Timothy Clive Eve,Director of,job,
Clay Knox 100 Limited,Daniel John Clay,Director of,job,
Boston Trust Company Limited,Gondola Limited,Gondola Employee Benefit Trust 2005,corporate,
Gondola Employee Benefit Trust 2005,Arthur John Lancaster,Care of,corporate,
Gondola Employee Benefit Trust 2005,Boston Fiducairy Management Limited,Care of,corporate,
David Ross,Gondola Group Limited,Chairman of,job,
White Collar Financial Limited,Anthony George Andrew Ward,Anthony George Andrew Ward is a director of White Collar Financial Limited,job,
ASMG Limited,Ravi Prasad Ramyead,Ravi Prasad Ramyead was a director of ASMG Limited,job,
Theta Partners Limited,Anthony George Andrew Ward,Anthony George Andrew Ward was a director of Theta Partners Limited,job,
Theta Partners Limited,Ravi Prasad Ramyead,Ravi Prasad Ramyead was a director of Theta Partners Limited,job,
Conservative party,Richard Sharp,"Richard Sharp has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=2&rows=10&query=Richard%20S%20Sharp&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £416,189 to the Conservative party</a> since 2001",donor,416
Gondola Group Limited,Boston Trust Company Limited,Gondola Employee Benefit Trust 2005,corporate,
David Cameron,Graham Aaronson QC,"David Cameron asked Graham Aaronson to review fathers fund <a target=""_blank"" href=""https://web.archive.org/web/20191016085526/https://www.politicshome.com/news/uk/economy/financial-sector/opinion/73541/top-lawyer-ian-camerons-investment-fund-was-not-tax"">Graham Aaronson</a>",job,
Ernst & Young Holdings Limited,Ernst & Young Isle of Man,Ernst & Young Holdings Limited incorporated Isle of Man,corporate,
Richard Sharp,ONCIMMUNE HOLDINGS PLC,Richard Sharp was a director up until May 2020 (from 2015),job,
JPMorgan,UBS,EBTs used for bankers bonuses in late 90s early 2000s,corporate,
JPMorgan,Deutsche Bank,EBTs used for bankers bonuses in late 90s early 2000s,corporate,
JPMorgan,Goldman Sachs,EBTs used for bankers bonuses in late 90s early 2000s,corporate,
UBS,Deutsche Bank,EBTs used for bankers bonuses in late 90s early 2000s,corporate,
UBS,Goldman Sachs,EBTs used for bankers bonuses in late 90s early 2000s,corporate,
Goldman Sachs,Deutsche Bank,EBTs used for bankers bonuses in late 90s early 2000s,corporate,
Sajid Javid,Deutsche Bank,Worked at Deutsche Bank 2000-2009,job,
Richard Sharp,Goldman Sachs,Worked at Goldman Sachs up to 1985-2007 - 1999 –2007: Head of Principal Investment Area (Private Equityand Mezzanine);Member of European Management Committee,job,
Rishi Sunak,Goldman Sachs,Worked at Goldman Sachs up to 2004,job,
Richard Sharp,Rishi Sunak,Boss of Rishi Sunak and mentor at Goldman Sachs,job,
Carnegie Knox (Scotland) Ltd,Carnegie Knox Limited,"Both companies registered R&A House, Woodburn Road Blackburn Aberdeen AB21 0PS",corporate,
Carnegie Knox (Scotland) Ltd,Aberdeenshire,"Compnay registered R&A House, Woodburn Road Blackburn Aberdeen AB21 0PS",corporate,
Arthur John Lancaster,Knox Investment Consulting Limited,Secretary & Director,job,
